Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Reação a medicamento,evitar irritação,ir ao hospital mais próximo,parar de tomar o medicamento,fazer acompanhamento médico
Malária,ir ao hospital mais próximo,evitar alimentos gordurosos,evitar carne,afastar mosquitos
Alergia,aplicar loção de calamina,cobrir a área com curativo,,usar gelo para aliviar a coceira
Hipotireoidismo,reduzir o estresse,praticar exercícios,alimentar-se de forma saudável,dormir adequadamente
Psoríase,lavar as mãos com água morna e sabão,estancar sangramento com pressão,consultar médico,banhos de sal
Refluxo gastroesofágico,evitar alimentos gordurosos e apimentados,evitar deitar após comer,manter peso saudável,praticar exercícios
Colestase crônica,banhos frios,medicamento anti-coceira,consultar médico,alimentar-se de forma saudável
Hepatite A,ir ao hospital mais próximo,lavar as mãos completamente,evitar alimentos gordurosos e apimentados,tomar medicação
Osteoartrite,tomar acetaminofeno (paracetamol),ir ao hospital mais próximo,fazer acompanhamento médico,banhos de sal
Vertigem posicional,deitar,evitar mudanças bruscas de posição,evitar movimentos bruscos de cabeça,relaxar
Hipoglicemia,deitar de lado,verificar o pulso,tomar bebidas açucaradas,consultar médico
Acne,tomar banho duas vezes ao dia,evitar alimentos gordurosos e apimentados,beber bastante água,evitar usar muitos produtos
Diabetes,ter dieta equilibrada,praticar exercícios,consultar médico,fazer acompanhamento médico
Impetigo,mergulhar a área afetada em água morna,usar antibióticos,remover crostas com pano úmido,consultar médico
Hipertensão,meditar,banhos de sal,reduzir o estresse,dormir adequadamente
Úlcera péptica,evitar alimentos gordurosos e apimentados,consumir alimentos probióticos,eliminar leite da dieta,limitar consumo de álcool
Hemorroidas,evitar alimentos gordurosos e apimentados,usar witch hazel,banho morno com sal de epsom,consumir suco de aloe vera
Resfriado comum,beber bebidas ricas em vitamina C,fazer inalação de vapor,evitar alimentos frios,monitorar a febre
Catapora,usar neem no banho,consumir folhas de neem,tomar vacina,evitar locais públicos
Espondilose cervical,usar bolsa de calor ou gelo,praticar exercícios,tomar analgésico de venda livre,consultar médico
Hipertireoidismo,alimentar-se de forma saudável,fazer massagem,usar bálsamo de limão,realizar tratamento com iodo radioativo
Infecção urinária,beber bastante água,aumentar o consumo de vitamina C,beber suco de cranberry,tomar probióticos
Varizes,deitar e elevar as pernas,usar pomadas,usar compressão venosa,evitar ficar parado por muito tempo
AIDS,evitar cortes abertos,usar equipamento de proteção individual,consultar médico,fazer acompanhamento médico
Paralisia (hemorragia cerebral),fazer massagem,alimentar-se de forma saudável,praticar exercícios,consultar médico
Febre tifoide,comer vegetais de alto valor calórico,realizar antibioticoterapia,consultar médico,tomar medicação
Hepatite B,ir ao hospital mais próximo,vacinação,alimentar-se de forma saudável,tomar medicação
Infecção fúngica,tomar banho duas vezes ao dia,usar detol ou neem na água do banho,manter área infectada seca,usar roupas limpas
Hepatite C,ir ao hospital mais próximo,vacinação,alimentar-se de forma saudável,tomar medicação
Enxaqueca,meditar,reduzir o estresse,usar óculos polarizados ao sol,consultar médico
Asma brônquica,usar roupas largas,respirar fundo,afastar-se do gatilho,buscar ajuda
Hepatite alcoólica,parar o consumo de álcool,consultar médico,tomar medicação,fazer acompanhamento médico
Icterícia,beber bastante água,consumir cardo-leiteiro,comer frutas e alimentos ricos em fibras,tomar medicação
Hepatite E,parar o consumo de álcool,descansar,consultar médico,tomar medicação
Dengue,beber suco de folha de mamão,evitar alimentos gordurosos e apimentados,afastar mosquitos,manter-se hidratado
Hepatite D,consultar médico,tomar medicação,alimentar-se de forma saudável,fazer acompanhamento médico
Infarto,chamar ambulância,mastigar ou engolir aspirina,manter a calma,
Pneumonia,consultar médico,tomar medicação,descansar,fazer acompanhamento médico
Artrite,praticar exercícios,usar terapia de calor e frio,tentar acupuntura,fazer massagem
Gastroenterite,parar de comer alimentos sólidos por um tempo,tentar tomar pequenos goles de água,descansar,retomar a alimentação gradualmente
Tuberculose,cobrir a boca ao tossir,consultar médico,tomar medicação,descansar
