Disease,Description
Reação a medicamento,"Uma reação adversa a medicamento (RAM) é uma lesão causada pelo uso de medicação. Pode ocorrer após uma única dose ou administração prolongada, ou resultar da combinação de dois ou mais fármacos."
Malária,"Doença infecciosa causada por parasitas da família Plasmodium, transmitida pela picada do mosquito Anopheles ou por agulha contaminada ou transfusão. A malária falciparum é o tipo mais letal."
Alergia,"A alergia é uma resposta do sistema imunológico a uma substância estranha que normalmente não é prejudicial ao organismo, como alimentos, pólen ou pelos de animais."
Hipotireoidismo,O hipotireoidismo é um distúrbio do sistema endócrino no qual a glândula tireoide não produz hormônio tireoidiano suficiente.
Psoríase,"A psoríase é um distúrbio cutâneo comum que forma placas espessas, vermelhas e irregulares cobertas de escamas prateadas. Não é contagiosa."
Refluxo gastroesofágico,"A doença do refluxo gastroesofágico (DRGE) é um distúrbio digestivo que afeta o esfíncter esofágico inferior, causando azia e regurgitação ácida."
Colestase crônica,"Doenças colestáticas crônicas caracterizadas por transporte defeituoso de ácidos biliares do fígado para o intestino, causado por dano primário ao epitélio biliar."
Hepatite A,"A hepatite A é uma infecção hepática altamente contagiosa causada pelo vírus da hepatite A, que causa inflamação e afeta o funcionamento do fígado."
Osteoartrite,"A osteoartrite é a forma mais comum de artrite, ocorrendo quando a cartilagem protetora que amortece as extremidades dos ossos se desgasta com o tempo."
Vertigem posicional,"A vertigem posicional paroxística benigna (VPPB) é uma das causas mais comuns de vertigem, causando sensação súbita de rotação com episódios breves de tontura."
Hipoglicemia,A hipoglicemia é uma condição em que o nível de açúcar no sangue está abaixo do normal. Frequentemente relacionada ao tratamento do diabetes.
Acne,"A acne vulgar é a formação de comedões, pápulas, pústulas e cistos por obstrução e inflamação das unidades pilossebáceas. Afeta principalmente adolescentes."
Diabetes,"O diabetes é uma doença que ocorre quando a glicose no sangue está muito alta. A insulina, produzida pelo pâncreas, ajuda a glicose a entrar nas células para ser usada como energia."
Impetigo,"O impetigo é uma infecção cutânea comum e altamente contagiosa que afeta principalmente crianças, aparecendo como feridas vermelhas no rosto, mãos e pés."
Hipertensão,A hipertensão arterial é uma condição de longo prazo em que a pressão do sangue nas artérias está persistentemente elevada. Normalmente não causa sintomas.
Úlcera péptica,"A úlcera péptica é uma ruptura no revestimento interno do estômago ou do intestino delgado, podendo causar dor abdominal intensa."
Hemorroidas,"As hemorroidas são estruturas vasculares inflamadas no canal anal que causam desconforto, coceira e sangramento."
Resfriado comum,"O resfriado comum é uma infecção viral do nariz e da garganta. Geralmente inofensivo, pode ser causado por muitos tipos de vírus."
Catapora,"A catapora é uma doença altamente contagiosa causada pelo vírus varicela-zóster, caracterizada por erupção cutânea com bolhas e intensa coceira."
Espondilose cervical,"A espondilose cervical é o desgaste relacionado à idade nos discos da coluna cervical, podendo causar dor no pescoço e rigidez."
Hipertireoidismo,"O hipertireoidismo ocorre quando a tireoide produz tiroxina em excesso, acelerando o metabolismo e causando perda de peso e batimento cardíaco acelerado."
Infecção urinária,"A infecção do trato urinário (ITU) é uma infecção do rim, ureter, bexiga ou uretra, causando vontade frequente de urinar e ardência."
Varizes,"Varizes são veias dilatadas e tortuosas, visíveis através da pele como vasos azulados proeminentes. São mais comuns nas pernas."
AIDS,"A AIDS é uma condição crônica e potencialmente fatal causada pelo HIV, que danifica o sistema imunológico e interfere na capacidade de combater infecções."
Paralisia (hemorragia cerebral),"A hemorragia intracerebral ocorre quando o sangue irrompe no tecido cerebral, causando dor de cabeça, fraqueza, confusão e paralisia."
Febre tifoide,"A febre tifoide é uma doença aguda causada pela bactéria Salmonella typhi, com febre, dor de cabeça, constipação, mal-estar e dor muscular."
Hepatite B,"A hepatite B é uma infecção do fígado que pode causar cicatrizes, insuficiência hepática e câncer. Transmitida por sangue e fluidos corporais."
Infecção fúngica,Infecções fúngicas ocorrem quando um fungo invasor domina uma área do corpo e o sistema imunológico não consegue controlá-lo.
Hepatite C,"A hepatite C é uma inflamação do fígado causada pelo vírus HCV, transmitido por transfusão de sangue ou agulhas contaminadas, podendo levar à cirrose e câncer."
Enxaqueca,"A enxaqueca causa dor latejante intensa geralmente em um lado da cabeça, acompanhada de náusea, vômito e sensibilidade à luz e ao som."
Asma brônquica,"A asma brônquica causa inchaço e estreitamento das vias aéreas dos pulmões, dificultando a respiração e causando tosse, falta de ar e chiado."
Hepatite alcoólica,A hepatite alcoólica é uma inflamação do fígado causada pelo consumo excessivo de álcool por período prolongado. Exige parada total do consumo.
Icterícia,A icterícia é a coloração amarelada da pele e dos olhos causada por níveis elevados de bilirrubina no sangue.
Hepatite E,"A hepatite E é uma inflamação hepática rara causada pelo vírus HEV, transmitida por água ou alimentos contaminados. Não causa doença hepática crônica."
Dengue,"A dengue é uma doença infecciosa aguda transmitida pelo mosquito Aedes, caracterizada por febre alta, dor nas articulações e erupção cutânea."
Hepatite D,"A hepatite D é uma infecção que causa inflamação do fígado, podendo levar a cicatrizes e câncer hepático. É causada pelo vírus HDV."
Infarto,"O infarto é a morte do músculo cardíaco por perda de suprimento sanguíneo, geralmente causada pelo bloqueio de uma artéria coronária."
Pneumonia,"A pneumonia é uma infecção em um ou ambos os pulmões causada por bactérias, vírus ou fungos, causando inflamação dos alvéolos e dificuldade para respirar."
Artrite,"A artrite é o inchaço e a sensibilidade das articulações, causando dor e rigidez que geralmente pioram com a idade."
Gastroenterite,"A gastroenterite é uma inflamação do trato digestivo associada a diarreia, cólicas abdominais, náusea e vômito."
Tuberculose,"A tuberculose (TB) é uma doença infecciosa causada pela bactéria Mycobacterium tuberculosis, afetando principalmente os pulmões."
