Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Infecção fúngica,coceira,erupção_cutânea,erupções_nodulares,manchas_discrômicas,,,,,,,,,,,,,
Infecção fúngica,erupção_cutânea,erupções_nodulares,manchas_discrômicas,,,,,,,,,,,,,,
Infecção fúngica,coceira,erupções_nodulares,manchas_discrômicas,,,,,,,,,,,,,,
Infecção fúngica,coceira,erupção_cutânea,manchas_discrômicas,,,,,,,,,,,,,,
Infecção fúngica,coceira,erupção_cutânea,erupções_nodulares,,,,,,,,,,,,,,
Infecção fúngica,erupção_cutânea,erupções_nodulares,manchas_discrômicas,,,,,,,,,,,,,,
Infecção fúngica,coceira,erupções_nodulares,manchas_discrômicas,,,,,,,,,,,,,,
Infecção fúngica,coceira,erupção_cutânea,manchas_discrômicas,,,,,,,,,,,,,,
Infecção fúngica,coceira,erupção_cutânea,erupções_nodulares,,,,,,,,,,,,,,
Infecção fúngica,coceira,erupção_cutânea,erupções_nodulares,manchas_discrômicas,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,calafrios,lacrimejamento,,,,,,,,,,,,,
Alergia,tremores,calafrios,lacrimejamento,,,,,,,,,,,,,,
Alergia,espirros_contínuos,calafrios,lacrimejamento,,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,lacrimejamento,,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,calafrios,,,,,,,,,,,,,,
Alergia,tremores,calafrios,lacrimejamento,,,,,,,,,,,,,,
Alergia,espirros_contínuos,calafrios,lacrimejamento,,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,lacrimejamento,,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,calafrios,,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,calafrios,lacrimejamento,,,,,,,,,,,,,
Refluxo gastroesofágico,dor_no_estômago,acidez,úlceras_na_língua,vômito,tosse,dor_no_peito,,,,,,,,,,,
Refluxo gastroesofágico,dor_no_estômago,úlceras_na_língua,vômito,tosse,dor_no_peito,,,,,,,,,,,,
Refluxo gastroesofágico,dor_no_estômago,acidez,vômito,tosse,dor_no_peito,,,,,,,,,,,,
Refluxo gastroesofágico,dor_no_estômago,acidez,úlceras_na_língua,tosse,dor_no_peito,,,,,,,,,,,,
Refluxo gastroesofágico,dor_no_estômago,acidez,úlceras_na_língua,vômito,dor_no_peito,,,,,,,,,,,,
Refluxo gastroesofágico,dor_no_estômago,acidez,úlceras_na_língua,vômito,tosse,,,,,,,,,,,,
Refluxo gastroesofágico,acidez,úlceras_na_língua,vômito,tosse,dor_no_peito,,,,,,,,,,,,
Refluxo gastroesofágico,dor_no_estômago,úlceras_na_língua,vômito,tosse,dor_no_peito,,,,,,,,,,,,
Refluxo gastroesofágico,dor_no_estômago,acidez,vômito,tosse,dor_no_peito,,,,,,,,,,,,
Refluxo gastroesofágico,dor_no_estômago,acidez,úlceras_na_língua,tosse,dor_no_peito,,,,,,,,,,,,
Colestase crônica,coceira,vômito,pele_amarelada,náusea,perda_de_apetite,dor_abdominal,amarelamento_dos_olhos,,,,,,,,,,
Colestase crônica,vômito,pele_amarelada,náusea,perda_de_apetite,dor_abdominal,amarelamento_dos_olhos,,,,,,,,,,,
Colestase crônica,coceira,pele_amarelada,náusea,perda_de_apetite,dor_abdominal,amarelamento_dos_olhos,,,,,,,,,,,
Colestase crônica,coceira,vômito,náusea,perda_de_apetite,dor_abdominal,amarelamento_dos_olhos,,,,,,,,,,,
Colestase crônica,coceira,vômito,pele_amarelada,perda_de_apetite,dor_abdominal,amarelamento_dos_olhos,,,,,,,,,,,
Colestase crônica,coceira,vômito,pele_amarelada,náusea,dor_abdominal,amarelamento_dos_olhos,,,,,,,,,,,
Colestase crônica,coceira,vômito,pele_amarelada,náusea,perda_de_apetite,amarelamento_dos_olhos,,,,,,,,,,,
Colestase crônica,coceira,vômito,pele_amarelada,náusea,perda_de_apetite,dor_abdominal,,,,,,,,,,,
Colestase crônica,coceira,vômito,pele_amarelada,náusea,perda_de_apetite,dor_abdominal,amarelamento_dos_olhos,,,,,,,,,,
Colestase crônica,coceira,vômito,pele_amarelada,náusea,perda_de_apetite,dor_abdominal,amarelamento_dos_olhos,,,,,,,,,,
Reação a medicamento,coceira,erupção_cutânea,dor_no_estômago,ardência_ao_urinar,manchas_na_urina,,,,,,,,,,,,
Reação a medicamento,coceira,dor_no_estômago,ardência_ao_urinar,manchas_na_urina,,,,,,,,,,,,,
Reação a medicamento,coceira,erupção_cutânea,ardência_ao_urinar,manchas_na_urina,,,,,,,,,,,,,
Reação a medicamento,coceira,erupção_cutânea,dor_no_estômago,manchas_na_urina,,,,,,,,,,,,,
Reação a medicamento,coceira,erupção_cutânea,dor_no_estômago,ardência_ao_urinar,,,,,,,,,,,,,
Reação a medicamento,erupção_cutânea,dor_no_estômago,ardência_ao_urinar,manchas_na_urina,,,,,,,,,,,,,
Reação a medicamento,coceira,dor_no_estômago,ardência_ao_urinar,manchas_na_urina,,,,,,,,,,,,,
Reação a medicamento,coceira,erupção_cutânea,ardência_ao_urinar,manchas_na_urina,,,,,,,,,,,,,
Reação a medicamento,coceira,erupção_cutânea,dor_no_estômago,manchas_na_urina,,,,,,,,,,,,,
Reação a medicamento,coceira,erupção_cutânea,dor_no_estômago,ardência_ao_urinar,,,,,,,,,,,,,
Úlcera péptica,vômito,perda_de_apetite,dor_abdominal,eliminação_de_gases,coceira_interna,,,,,,,,,,,,
Úlcera péptica,vômito,indigestão,dor_abdominal,eliminação_de_gases,coceira_interna,,,,,,,,,,,,
Úlcera péptica,indigestão,perda_de_apetite,dor_abdominal,eliminação_de_gases,coceira_interna,,,,,,,,,,,,
Úlcera péptica,vômito,perda_de_apetite,dor_abdominal,eliminação_de_gases,coceira_interna,,,,,,,,,,,,
Úlcera péptica,vômito,indigestão,dor_abdominal,eliminação_de_gases,coceira_interna,,,,,,,,,,,,
Úlcera péptica,vômito,indigestão,perda_de_apetite,eliminação_de_gases,coceira_interna,,,,,,,,,,,,
Úlcera péptica,vômito,indigestão,perda_de_apetite,dor_abdominal,coceira_interna,,,,,,,,,,,,
Úlcera péptica,vômito,indigestão,perda_de_apetite,dor_abdominal,eliminação_de_gases,,,,,,,,,,,,
Úlcera péptica,vômito,indigestão,perda_de_apetite,dor_abdominal,eliminação_de_gases,coceira_interna,,,,,,,,,,,
Úlcera péptica,vômito,indigestão,perda_de_apetite,dor_abdominal,eliminação_de_gases,coceira_interna,,,,,,,,,,,
AIDS,perda_muscular,manchas_na_garganta,febre_alta,contatos_extraconjugais,,,,,,,,,,,,,
AIDS,manchas_na_garganta,febre_alta,contatos_extraconjugais,,,,,,,,,,,,,,
AIDS,perda_muscular,febre_alta,contatos_extraconjugais,,,,,,,,,,,,,,
AIDS,perda_muscular,manchas_na_garganta,contatos_extraconjugais,,,,,,,,,,,,,,
AIDS,perda_muscular,manchas_na_garganta,febre_alta,,,,,,,,,,,,,,
AIDS,perda_muscular,manchas_na_garganta,febre_alta,contatos_extraconjugais,,,,,,,,,,,,,
AIDS,perda_muscular,manchas_na_garganta,febre_alta,contatos_extraconjugais,,,,,,,,,,,,,
AIDS,manchas_na_garganta,febre_alta,contatos_extraconjugais,,,,,,,,,,,,,,
AIDS,perda_muscular,febre_alta,contatos_extraconjugais,,,,,,,,,,,,,,
AIDS,perda_muscular,manchas_na_garganta,febre_alta,,,,,,,,,,,,,,
Diabetes,fadiga,perda_de_peso,agitação,letargia,nível_irregular_de_açúcar,visão_turva,obesidade,fome_excessiva,apetite_aumentado,poliúria,,,,,,,
Diabetes,fadiga,perda_de_peso,agitação,letargia,nível_irregular_de_açúcar,visão_turva,obesidade,fome_excessiva,apetite_aumentado,poliúria,,,,,,,
Diabetes,perda_de_peso,agitação,letargia,nível_irregular_de_açúcar,visão_turva,obesidade,fome_excessiva,apetite_aumentado,poliúria,,,,,,,,
Diabetes,fadiga,agitação,letargia,nível_irregular_de_açúcar,visão_turva,obesidade,fome_excessiva,apetite_aumentado,poliúria,,,,,,,,
Diabetes,fadiga,perda_de_peso,letargia,nível_irregular_de_açúcar,visão_turva,obesidade,fome_excessiva,apetite_aumentado,poliúria,,,,,,,,
Diabetes,fadiga,perda_de_peso,agitação,nível_irregular_de_açúcar,visão_turva,obesidade,fome_excessiva,apetite_aumentado,poliúria,,,,,,,,
Diabetes,fadiga,perda_de_peso,agitação,letargia,visão_turva,obesidade,fome_excessiva,apetite_aumentado,poliúria,,,,,,,,
Diabetes,fadiga,perda_de_peso,agitação,letargia,nível_irregular_de_açúcar,obesidade,fome_excessiva,apetite_aumentado,poliúria,,,,,,,,
Diabetes,fadiga,perda_de_peso,agitação,letargia,nível_irregular_de_açúcar,visão_turva,fome_excessiva,apetite_aumentado,poliúria,,,,,,,,
Diabetes,fadiga,perda_de_peso,agitação,letargia,nível_irregular_de_açúcar,visão_turva,obesidade,apetite_aumentado,poliúria,,,,,,,,
Gastroenterite,vômito,olhos_fundos,desidratação,diarreia,,,,,,,,,,,,,
Gastroenterite,vômito,olhos_fundos,desidratação,diarreia,,,,,,,,,,,,,
Gastroenterite,olhos_fundos,desidratação,diarreia,,,,,,,,,,,,,,
Gastroenterite,vômito,desidratação,diarreia,,,,,,,,,,,,,,
Gastroenterite,vômito,olhos_fundos,diarreia,,,,,,,,,,,,,,
Gastroenterite,vômito,olhos_fundos,desidratação,,,,,,,,,,,,,,
Gastroenterite,vômito,olhos_fundos,desidratação,diarreia,,,,,,,,,,,,,
