Disease,Sintoma,contagem,P_sintoma_dado_doenca
Fungal infection,itching,108,0.9
Fungal infection,skin_rash,108,0.9
Fungal infection,nodal_skin_eruptions,108,0.9
Fungal infection,dischromic _patches,108,0.9
Allergy,continuous_sneezing,108,0.9
Allergy,shivering,108,0.9
Allergy,chills,108,0.9
Allergy,watering_from_eyes,108,0.9
GERD,stomach_pain,114,0.95
GERD,chest_pain,114,0.95
GERD,cough,114,0.95
GERD,acidity,108,0.9
GERD,vomiting,108,0.9
GERD,ulcers_on_tongue,108,0.9
Chronic cholestasis,itching,114,0.95
Chronic cholestasis,vomiting,114,0.95
Chronic cholestasis,yellowish_skin,114,0.95
Chronic cholestasis,nausea,114,0.95
Chronic cholestasis,loss_of_appetite,114,0.95
Chronic cholestasis,abdominal_pain,114,0.95
Chronic cholestasis,yellowing_of_eyes,114,0.95
Drug Reaction,itching,114,0.95
Drug Reaction,skin_rash,108,0.9
Drug Reaction,stomach_pain,108,0.9
Drug Reaction,burning_micturition,108,0.9
Drug Reaction,spotting_ urination,108,0.9
Peptic ulcer diseae,vomiting,114,0.95
Peptic ulcer diseae,abdominal_pain,114,0.95
Peptic ulcer diseae,internal_itching,114,0.95
Peptic ulcer diseae,passage_of_gases,114,0.95
Peptic ulcer diseae,loss_of_appetite,108,0.9
Peptic ulcer diseae,indigestion,108,0.9
AIDS,high_fever,114,0.95
AIDS,muscle_wasting,108,0.9
AIDS,patches_in_throat,108,0.9
AIDS,extra_marital_contacts,108,0.9
Diabetes,polyuria,120,1.0
Diabetes,increased_appetite,120,1.0
Diabetes,weight_loss,114,0.95
Diabetes,fatigue,114,0.95
Diabetes,restlessness,114,0.95
Diabetes,lethargy,114,0.95
Diabetes,blurred_and_distorted_vision,114,0.95
Diabetes,irregular_sugar_level,114,0.95
Diabetes,excessive_hunger,114,0.95
Diabetes,obesity,114,0.95
Gastroenteritis,diarrhoea,114,0.95
Gastroenteritis,vomiting,108,0.9
Gastroenteritis,sunken_eyes,108,0.9
Gastroenteritis,dehydration,108,0.9
Bronchial Asthma,breathlessness,114,0.95
Bronchial Asthma,high_fever,114,0.95
Bronchial Asthma,family_history,114,0.95
Bronchial Asthma,mucoid_sputum,114,0.95
Bronchial Asthma,cough,108,0.9
Bronchial Asthma,fatigue,108,0.9
Hypertension,lack_of_concentration,114,0.95
Hypertension,loss_of_balance,114,0.95
Hypertension,headache,108,0.9
Hypertension,dizziness,108,0.9
Hypertension,chest_pain,108,0.9
Migraine,acidity,114,0.95
Migraine,indigestion,114,0.95
Migraine,headache,114,0.95
Migraine,blurred_and_distorted_vision,114,0.95
Migraine,excessive_hunger,114,0.95
Migraine,stiff_neck,114,0.95
Migraine,depression,114,0.95
Migraine,irritability,114,0.95
Migraine,visual_disturbances,114,0.95
Cervical spondylosis,neck_pain,114,0.95
Cervical spondylosis,loss_of_balance,114,0.95
Cervical spondylosis,dizziness,114,0.95
Cervical spondylosis,back_pain,108,0.9
Cervical spondylosis,weakness_in_limbs,108,0.9
Paralysis (brain hemorrhage),altered_sensorium,114,0.95
Paralysis (brain hemorrhage),vomiting,108,0.9
Paralysis (brain hemorrhage),headache,108,0.9
Paralysis (brain hemorrhage),weakness_of_one_body_side,108,0.9
Jaundice,itching,114,0.95
Jaundice,vomiting,114,0.95
Jaundice,fatigue,114,0.95
Jaundice,weight_loss,114,0.95
Jaundice,high_fever,114,0.95
Jaundice,yellowish_skin,114,0.95
Jaundice,dark_urine,114,0.95
Jaundice,abdominal_pain,114,0.95
Malaria,muscle_pain,120,1.0
Malaria,chills,114,0.95
Malaria,high_fever,114,0.95
Malaria,vomiting,114,0.95
Malaria,sweating,114,0.95
Malaria,headache,114,0.95
Malaria,nausea,114,0.95
Malaria,diarrhoea,108,0.9
Chicken pox,malaise,120,1.0
Chicken pox,red_spots_over_body,120,1.0
Chicken pox,itching,114,0.95
Chicken pox,fatigue,114,0.95
Chicken pox,skin_rash,114,0.95
Chicken pox,lethargy,114,0.95
Chicken pox,high_fever,114,0.95
Chicken pox,loss_of_appetite,114,0.95
Chicken pox,headache,114,0.95
Chicken pox,swelled_lymph_nodes,114,0.95
Chicken pox,mild_fever,114,0.95
Dengue,nausea,120,1.0
Dengue,back_pain,120,1.0
Dengue,pain_behind_the_eyes,120,1.0
Dengue,loss_of_appetite,120,1.0
Dengue,headache,120,1.0
Dengue,skin_rash,114,0.95
Dengue,high_fever,114,0.95
Dengue,fatigue,114,0.95
Dengue,vomiting,114,0.95
Dengue,joint_pain,114,0.95
Dengue,chills,114,0.95
Dengue,muscle_pain,114,0.95
Dengue,red_spots_over_body,114,0.95
Dengue,malaise,114,0.95
Typhoid,chills,120,1.0
Typhoid,fatigue,120,1.0
Typhoid,high_fever,120,1.0
Typhoid,vomiting,114,0.95
Typhoid,nausea,114,0.95
Typhoid,constipation,114,0.95
Typhoid,abdominal_pain,114,0.95
Typhoid,diarrhoea,114,0.95
Typhoid,toxic_look_(typhos),114,0.95
Typhoid,belly_pain,114,0.95
Typhoid,headache,114,0.95
hepatitis A,mild_fever,120,1.0
hepatitis A,muscle_pain,120,1.0
hepatitis A,yellowing_of_eyes,120,1.0
hepatitis A,yellowish_skin,114,0.95
hepatitis A,vomiting,114,0.95
hepatitis A,joint_pain,114,0.95
hepatitis A,dark_urine,114,0.95
hepatitis A,abdominal_pain,114,0.95
hepatitis A,loss_of_appetite,114,0.95
hepatitis A,nausea,114,0.95
hepatitis A,diarrhoea,114,0.95
Hepatitis B,yellowing_of_eyes,120,1.0
Hepatitis B,malaise,120,1.0
Hepatitis B,receiving_blood_transfusion,120,1.0
Hepatitis B,receiving_unsterile_injections,120,1.0
Hepatitis B,yellowish_skin,114,0.95
Hepatitis B,lethargy,114,0.95
Hepatitis B,fatigue,114,0.95
Hepatitis B,itching,114,0.95
Hepatitis B,yellow_urine,114,0.95
Hepatitis B,abdominal_pain,114,0.95
Hepatitis B,loss_of_appetite,114,0.95
Hepatitis B,dark_urine,114,0.95
Hepatitis C,fatigue,114,0.95
Hepatitis C,yellowish_skin,114,0.95
Hepatitis C,nausea,114,0.95
Hepatitis C,loss_of_appetite,114,0.95
Hepatitis C,family_history,114,0.95
Hepatitis C,yellowing_of_eyes,108,0.9
Hepatitis D,joint_pain,114,0.95
Hepatitis D,vomiting,114,0.95
Hepatitis D,fatigue,114,0.95
Hepatitis D,yellowish_skin,114,0.95
Hepatitis D,dark_urine,114,0.95
Hepatitis D,nausea,114,0.95
Hepatitis D,loss_of_appetite,114,0.95
Hepatitis D,abdominal_pain,114,0.95
Hepatitis D,yellowing_of_eyes,114,0.95
Hepatitis E,stomach_bleeding,120,1.0
Hepatitis E,yellowing_of_eyes,120,1.0
Hepatitis E,coma,120,1.0
Hepatitis E,loss_of_appetite,120,1.0
Hepatitis E,abdominal_pain,120,1.0
Hepatitis E,yellowish_skin,114,0.95
Hepatitis E,high_fever,114,0.95
Hepatitis E,fatigue,114,0.95
Hepatitis E,vomiting,114,0.95
Hepatitis E,joint_pain,114,0.95
Hepatitis E,nausea,114,0.95
Hepatitis E,dark_urine,114,0.95
Hepatitis E,acute_liver_failure,114,0.95
Alcoholic hepatitis,vomiting,114,0.95
Alcoholic hepatitis,yellowish_skin,114,0.95
Alcoholic hepatitis,abdominal_pain,114,0.95
Alcoholic hepatitis,swelling_of_stomach,114,0.95
Alcoholic hepatitis,distention_of_abdomen,114,0.95
Alcoholic hepatitis,history_of_alcohol_consumption,114,0.95
Alcoholic hepatitis,fluid_overload,114,0.95
Tuberculosis,blood_in_sputum,120,1.0
Tuberculosis,chest_pain,120,1.0
Tuberculosis,phlegm,120,1.0
Tuberculosis,malaise,120,1.0
Tuberculosis,swelled_lymph_nodes,120,1.0
Tuberculosis,yellowing_of_eyes,120,1.0
Tuberculosis,mild_fever,120,1.0
Tuberculosis,loss_of_appetite,120,1.0
Tuberculosis,sweating,114,0.95
Tuberculosis,breathlessness,114,0.95
Tuberculosis,high_fever,114,0.95
Tuberculosis,cough,114,0.95
Tuberculosis,weight_loss,114,0.95
Tuberculosis,fatigue,114,0.95
Tuberculosis,vomiting,114,0.95
Tuberculosis,chills,114,0.95
Common Cold,phlegm,120,1.0
Common Cold,muscle_pain,120,1.0
Common Cold,loss_of_smell,120,1.0
Common Cold,chest_pain,120,1.0
Common Cold,congestion,120,1.0
Common Cold,runny_nose,120,1.0
Common Cold,sinus_pressure,120,1.0
Common Cold,redness_of_eyes,120,1.0
Common Cold,throat_irritation,120,1.0
Common Cold,continuous_sneezing,114,0.95
Common Cold,malaise,114,0.95
Common Cold,headache,114,0.95
Common Cold,swelled_lymph_nodes,114,0.95
Common Cold,fatigue,114,0.95
Common Cold,cough,114,0.95
Common Cold,chills,114,0.95
Common Cold,high_fever,114,0.95
Pneumonia,chest_pain,120,1.0
Pneumonia,rusty_sputum,120,1.0
Pneumonia,fast_heart_rate,120,1.0
Pneumonia,cough,114,0.95
Pneumonia,fatigue,114,0.95
Pneumonia,chills,114,0.95
Pneumonia,high_fever,114,0.95
Pneumonia,malaise,114,0.95
Pneumonia,sweating,114,0.95
Pneumonia,breathlessness,114,0.95
Pneumonia,phlegm,114,0.95
Dimorphic hemmorhoids(piles),constipation,114,0.95
Dimorphic hemmorhoids(piles),pain_during_bowel_movements,114,0.95
Dimorphic hemmorhoids(piles),pain_in_anal_region,114,0.95
Dimorphic hemmorhoids(piles),bloody_stool,114,0.95
Dimorphic hemmorhoids(piles),irritation_in_anus,114,0.95
Heart attack,chest_pain,114,0.95
Heart attack,vomiting,108,0.9
Heart attack,breathlessness,108,0.9
Heart attack,sweating,108,0.9
Varicose veins,fatigue,114,0.95
Varicose veins,cramps,114,0.95
Varicose veins,bruising,114,0.95
Varicose veins,obesity,114,0.95
Varicose veins,swollen_legs,114,0.95
Varicose veins,prominent_veins_on_calf,114,0.95
Varicose veins,swollen_blood_vessels,108,0.9
Hypothyroidism,irritability,120,1.0
Hypothyroidism,swollen_extremeties,120,1.0
Hypothyroidism,depression,120,1.0
Hypothyroidism,enlarged_thyroid,120,1.0
Hypothyroidism,brittle_nails,120,1.0
Hypothyroidism,abnormal_menstruation,120,1.0
Hypothyroidism,weight_gain,114,0.95
Hypothyroidism,cold_hands_and_feets,114,0.95
Hypothyroidism,mood_swings,114,0.95
Hypothyroidism,dizziness,114,0.95
Hypothyroidism,lethargy,114,0.95
Hypothyroidism,puffy_face_and_eyes,114,0.95
Hypothyroidism,fatigue,108,0.9
Hyperthyroidism,muscle_weakness,120,1.0
Hyperthyroidism,abnormal_menstruation,120,1.0
Hyperthyroidism,irritability,120,1.0
Hyperthyroidism,weight_loss,114,0.95
Hyperthyroidism,mood_swings,114,0.95
Hyperthyroidism,fatigue,114,0.95
Hyperthyroidism,restlessness,114,0.95
Hyperthyroidism,fast_heart_rate,114,0.95
Hyperthyroidism,diarrhoea,114,0.95
Hyperthyroidism,sweating,114,0.95
Hyperthyroidism,excessive_hunger,114,0.95
Hypoglycemia,slurred_speech,120,1.0
Hypoglycemia,irritability,120,1.0
Hypoglycemia,palpitations,120,1.0
Hypoglycemia,excessive_hunger,120,1.0
Hypoglycemia,sweating,114,0.95
Hypoglycemia,anxiety,114,0.95
Hypoglycemia,fatigue,114,0.95
Hypoglycemia,vomiting,114,0.95
Hypoglycemia,blurred_and_distorted_vision,114,0.95
Hypoglycemia,nausea,114,0.95
Hypoglycemia,headache,114,0.95
Hypoglycemia,drying_and_tingling_lips,114,0.95
Osteoarthristis,joint_pain,114,0.95
Osteoarthristis,neck_pain,114,0.95
Osteoarthristis,knee_pain,114,0.95
Osteoarthristis,hip_joint_pain,114,0.95
Osteoarthristis,swelling_joints,114,0.95
Osteoarthristis,painful_walking,114,0.95
Arthritis,muscle_weakness,114,0.95
Arthritis,stiff_neck,114,0.95
Arthritis,swelling_joints,114,0.95
Arthritis,movement_stiffness,114,0.95
Arthritis,painful_walking,114,0.95
(vertigo) Paroymsal  Positional Vertigo,vomiting,114,0.95
(vertigo) Paroymsal  Positional Vertigo,headache,114,0.95
(vertigo) Paroymsal  Positional Vertigo,nausea,114,0.95
(vertigo) Paroymsal  Positional Vertigo,loss_of_balance,114,0.95
(vertigo) Paroymsal  Positional Vertigo,unsteadiness,114,0.95
(vertigo) Paroymsal  Positional Vertigo,spinning_movements,108,0.9
Acne,skin_rash,114,0.95
Acne,pus_filled_pimples,108,0.9
Acne,blackheads,108,0.9
Acne,scurring,108,0.9
Urinary tract infection,bladder_discomfort,114,0.95
Urinary tract infection,continuous_feel_of_urine,114,0.95
Urinary tract infection,burning_micturition,108,0.9
Urinary tract infection,foul_smell_of urine,102,0.85
Psoriasis,skin_rash,114,0.95
Psoriasis,joint_pain,114,0.95
Psoriasis,skin_peeling,114,0.95
Psoriasis,silver_like_dusting,114,0.95
Psoriasis,small_dents_in_nails,114,0.95
Psoriasis,inflammatory_nails,114,0.95
Impetigo,skin_rash,114,0.95
Impetigo,blister,114,0.95
Impetigo,red_sore_around_nose,114,0.95
Impetigo,yellow_crust_ooze,114,0.95
Impetigo,high_fever,102,0.85
